Id;Label;EntityType;RiskScore
1453;APT44;Hacker Group;9.0
1454;Seashell Blizzard;Hacker Group;9.0
1455;Energy, Water & Heating Supply Enterprises (OKI);Target;8.0
1456;Serbian Enterprises;Target;8.0
1457;Czechian Enterprises;Target;8.0
1458;Logistics Enterprises in Ukraine;Target;8.0
1459;Ukrainian Grain Machinery Firms;Target;8.0
1460;Ukrainian Automated Process Control Firm;Target;8.0
1461;SECONDBEST;Tool;7.0
1462;EMPIREPAST;Tool;7.0
1463;SPARK;Tool;7.0
1464;CROOKBAG;Tool;7.0
1465;PEAKLIGHT;Tool;7.0
1466;BShark;Tool;7.0
1467;Backup;Tool;7.0
1468;customchecker.com;Tool;7.0
1469;adobe;Tool;7.0
1470;Serbia;Country;8.0
1471;Czechia;Country;8.0
1472;Energy, Water & Heating Supply Enterprises (OKI);Organization;8.0
1473;Logistics enterprises in Ukraine;Organization;8.0
1474;Ukrainian grain equipment manufacturers;Organization;8.0
1475;Ukrainian ASUTP solution providers;Organization;8.0
1476;documents-reader.com;Domain;8.0
1477;femundengerdal.no;Domain;8.0
1478;object-storage-service.com;Domain;8.0
1479;protectraid.com;Domain;8.0
1480;protectconnections.com;Domain;8.0
1481;gurt.duna.ua;Domain;8.0
1482;helpdesk.katolik.bydgoszcz.pl;Domain;8.0
1483;ertel-audit.com;Domain;8.0
1484;furqaanenergy.com;Domain;8.0
1485;adobeprotectcheck.com;Domain;8.0
1486;annualgieconferenceinmunich2024.com;Domain;8.0
1487;gieannualconferenceinmunich.com;Domain;8.0
1488;afi-ukraine.org;Domain;4.0
1489;calendar.stib.com.ua;Domain;4.0
1490;UAC-0173;Hacker Group;9.0
1491;Notary Computers;Target;8.0
1492;State Registers;Target;8.0
1493;Ministry of Justice of Ukraine;Target;8.0
1494;Notary's Chamber of Ukraine;Target;8.0
1495;HAKA3;Tool;7.0
1496;Наказ Міністерства юстиції від 10.02.2025 № 43613.1-03;Tool;7.0
1497;До відома;Tool;7.0
1498;DARKCRYSTALRAT;Tool;7.0
1499;RDPWRAPPER;Tool;7.0
1500;BORE;Tool;7.0
1501;NMAP;Tool;7.0
1502;FIDDLER;Tool;7.0
1503;XWORM;Tool;7.0
1504;SENDEMAIL;Tool;7.0
1505;install;Tool;7.0
1506;autoupdate;Tool;7.0
1507;try_excl;Tool;7.0
1508;xupwork3;Tool;7.0
1509;excl;Tool;7.0
1510;Ministry of Justice of Ukraine;Organization;8.0
1511;Ukrainian Notary Chamber;Organization;8.0
1512;Cybersecurity Commission of the National University of Ukraine;Organization;6.0
1513;bestank.ph;Domain;8.0
1514;fgf2.i.ua;Domain;8.0
1515;r2.cloudflarestorage.com;Domain;8.0
1516;upnow-prod.ff45e40d1a1c8f7e7de4e976d0c9e555.r2.cloudflarestorage.com;Domain;8.0
1517;i.ibb.co;Domain;8.0
1518;193.233.48.166;Domain;8.0
1519;91.92.246.18;Domain;8.0
1520;87.120.126.48;Domain;8.0
1521;89.105.201.98;Domain;8.0
1522;194.0.234.155;Domain;8.0
1523;Defense Industrial Complex Employees;Target;8.0
1524;Ukrainian Armed Forces Representatives;Target;8.0
1525;DarkTortilla;Tool;7.0
1526;imgurl.ir;Domain;8.0
1527;Ukrainian Government Organizations;Target;8.0
1528;baseupd;Tool;7.0
1529;oYUuQbXu;Tool;7.0
1530;stage1;Tool;7.0
1531;stage2;Tool;7.0
1532;shellcode.x86;Tool;7.0
1533;shellcode.x64;Tool;7.0
1534;Unified Compensation Center for Unpaid Money Returns;Target;8.0
1535;kohhd.com;Domain;8.0
1536;rivierafamily.com;Domain;8.0
1537;compensations-ukrain.bar;Domain;8.0
1538;compensation-ukr.com;Domain;8.0
1539;europadonnaireland.org;Domain;8.0
1540;foundpomoshi.com;Domain;8.0
1541;peer-gos.top;Domain;8.0
1542;helpzzfound.site;Domain;8.0
1543;uacompensation.xyz;Domain;8.0
1544;pay.uacompensation.xyz;Domain;8.0
